Job Role ID,Job Role Title,Job Role Description,Job Role Identifier,Job Role Skills and Experience,Job Role Created Date,Job Role Modified Date,CLIENT_NAME,CLIENT_REGION
117,Wage Subsidy Officer,"The role is responsible for managing wage subsidy eligibility, negotiation, documentation, and reimbursement processes to ensure all eligible placements receive timely and compliant support. By engaging directly with employers and internal teams, this role strengthens employer relationships, increases placement sustainability, and drives outcome conversion for TAG. The position ensures that all subsidy-related activities adhere to contractual, legislative, and quality standards while maintaining accurate records and supporting participants and employers throughout the lifecycle of a placement. Key Responsibilities: Identify and assess whether placements are eligible for subsidies in line with contractual and legislative requirements. Engage with employers to confirm eligibility, explain subsidy options, and support them through the documentation process. Negotiate subsidy structure and agreements with employers to ensure mutually beneficial outcomes. Provide guidance to employers and participants on required evidence and timeframes. Monitor subsidy milestones, including scheduled evidence requests and payment points. Request documentary evidence from employers at each payment due date. Conduct thorough quality checks on all documentation submitted to ensure accuracy and compliance. Identify and escalate discrepancies, risks, or non-compliant documentation. Prepare and submit subsidy payments to Finance for processing. Ensure all reimbursements are accurately recorded in WFAO and ESS or other required systems. Process wage subsidies and other eligible items in compliance with regulatory guidelines. Maintain strong understanding of Outcome and Documentary Evidence Guidelines. Maintain accurate and compliant records for all claims, subsidy documents, and employer communication. Ensure all Post Placement Support (PPS) and outcome-related evidence is recorded correctly. Protect confidentiality of participant and employer information. Collaborate with internal teams to ensure alignment and accuracy in claims processing. Build strong employer relationships to support placements and communication. Provide clear communication regarding evidence requirements and payment timelines. Participate in audits and compliance reviews. Identify opportunities to streamline processes. Take corrective actions to address compliance or performance issues",1,"Competencies Experience as a Claims Officer or similar role. Background in disability employment or employment services. Experience with electronic document management systems. Knowledge of Outcome and Documentary Evidence Guidelines. About Training Alliance Group (TAG) Training Alliance Group (TAG) is a leading provider of employment and training services across Western Australia and a footprint in New South Wales. Through a range of government funded programs, including Workforce Australia, Inclusive Employment Australia, Transition to Work, Parent Pathways, Employability Skills Training and Self-Employment Assistance. TAG helps individuals overcome barriers and achieve long-term employment. Partnering with Registered Training Organisations (RTOs), ABV Training & Consulting (ABV) and Mining, Transport & Construction Services (MTACS), TAG also delivers nationally recognised vocational education in industries like business, construction, and community services. With a strong focus on inclusion, quality, and real outcomes, TAG is committed to building futures through meaningful support, training, and job opportunities. Why Join TAG? At Training Alliance Group, we value our people and invest in their growth, wellbeing, and success. When you join us, you’ll enjoy a range of benefits, including: Performance Incentives – Be rewarded for achieving great outcomes Employee Recognition Program – Celebrate milestones and success stories A well-structured fully supported induction program, with further development and training provided Refer-a-Friend Program – Earn rewards for helping us grow our team Employee Assistance Program (EAP) – Free, confidential wellbeing support Salary Sacrifice – Super – Maximise your superannuation benefits Professional Development Days – Dedicated time to focus on your growth Ongoing Learning & Development – Access training to build your skills and career Cash Out Annual Leave – Flexibility to suit your lifestyle and needs Annual Leave in Advance – Extra support when life requires it Make an Impact. Grow Your Career. Change Lives. Join a respected and expanding organisation where your work truly matters. At TAG, you’ll collaborate with supportive leaders, contribute to community-impacting initiatives, and thrive in a dynamic, purpose-driven environment. TAG is an Equal Opportunity Employer. We welcome applicants from all backgrounds, we welcome applications from Aboriginal and Torres Strait Islander people, applicants from culturally and linguistically diverse backgrounds, the LGBTIQ+ community and applicants who have a disability. If you need adjustments during the recruitment process, please let us know — we’re committed to a fair and inclusive experience for all. Join TAG and make a lasting difference—one career at a time. Apply Now!",2026-04-10 04:18:58+00:00,2026-04-10 04:18:58+00:00,taga,SYD
2,Entry - 1,Junior Administrator,Entry - 1,Intensive acquisition of technical and business knowledge and skills. Application/understanding of practical working knowledge or theoretical concepts. Experience: 0-2 years.,2025-04-13 23:30:53+00:00,2025-04-13 23:30:53+00:00,dairyaustralia,SYD
68,Event & Permits Officer,"The Event & Permits Officer plays a crucial role in facilitating events and managing permits for the Great Ocean Road Authority. This position involves a variety of tasks aimed at ensuring that all events are conducted smoothly, while adhering to local regulations and guidelines. Primary Responsibilities: Coordinate the planning and execution of various events along the Great Ocean Road, ensuring they align with organisational objectives. Process permit applications for events, liaising with applicants to gather necessary documentation and information. Conduct site assessments to evaluate suitability for proposed events, taking into account environmental impact and community concerns. Develop and maintain strong relationships with stakeholders, including event organisers, local businesses, government agencies, and community groups. Assist in the preparation of reports on event outcomes and feedback for continuous improvement processes. Ensure compliance with health and safety regulations during events by developing risk management plans. Monitor ongoing event activities to ensure adherence to approved permits and conditions. Provide support during events by being present onsite to troubleshoot issues as they arise. This position requires an individual who is detail-oriented, possesses excellent communication skills, and has a passion for promoting community engagement through well-organised events. The ability to work flexibly within a dynamic environment is essential.",Event & Permits Officer,"Required skills Excellent organisational and planning skills. Strong communication and interpersonal abilities. Proficient in project management software and tools. Ability to work independently and as part of a team. Attention to detail and problem-solving skills. Knowledge of relevant legislation and regulations regarding events and permits. Required experience A minimum of 2 years' experience in event management or a related field. Proven track record in handling permits and compliance requirements for events. Experience liaising with stakeholders, including local authorities and community groups. Demonstrated ability to manage multiple projects simultaneously under tight deadlines. Familiarity with budgeting for events and managing financial resources effectively.",2025-10-10 06:49:44+00:00,2026-03-06 01:54:57+00:00,gora,SYD
22,Risk & Audit Officer,"Role Family: Governance, Legal & Risk Coordinate insurance, risk and audit processes to support governance, compliance and organisational improvement.",RISK_AUDIT_OFFICER,Governance knowledge; strategic planning; performance reporting; improvement leadership; risk management.,2025-11-19 03:44:32+00:00,2025-11-19 04:11:03+00:00,byron,SYD
5,Customer Success Director,"Define strategy: Set the strategic vision for the customer success organization, focusing on goals like product adoption, customer satisfaction, and retention. Build and lead a team: Recruit, mentor, and develop a high-performing customer success team. Oversee operations: Manage customer success operations, including setting up processes for onboarding, engagement, and customer lifecycle management. Report on performance: Provide regular reports to executive leadership on customer health, team performance, and overall results. Drive customer experience: Act as a primary owner of the customer experience, ensuring it aligns with business goals and drives revenue growth.",CSM_DIR,"Strategic thinking: The ability to see the ""big picture"" and develop long-term plans that drive customer success and revenue. Leadership and management: Experience leading and developing high-performing teams. Communication and interpersonal skills: Excellent communication, negotiation, and relationship-building skills to work effectively with both customers and internal teams. Problem-solving: Proactive and swift decision-making to address customer challenges and gaps in delivery. Analytical skills: Proficiency in analyzing data to understand customer behavior, track performance, and inform strategic decisions. Technical aptitude: The ability to efficiently use relevant software and tools, such as CRM and customer success platforms.",2025-11-17 21:05:11+00:00,2026-02-19 22:16:22+00:00,csmgold3,SYD
130,Counsellor/Program Support Officer,"The role of Counsellor is to provide effective therapeutic counselling and support services for clients (individuals, couples and families) dealing with a range of difficulties. The Program Support Officer supports theATSI Mental Health and Suicide Prevention program to: build and maintain partnerships, coordinate activities, groups information sessions and workshops contribute to and facilitate intakes, assessments and support requirements for clients Undertakes research and data collection tasks",C-PSO-W,"An appropriate degree in Social Work or a human service degree or diploma of an equivalent type. Experience in the field of therapeutic counselling utilising a high level of skills. Experience in developing and facilitating groups, presentations and workshops. Sound knowledge of a range of counselling theories and therapeutic interventions. Sound knowledge of issues around family relationships and separation, family violence, suicide ideation, peer pressure, bullying, self esteem, drug and/or alcohol abuse, mental health and mental illness. Knowledge of issues related to service delivery in rural and remote areas. Demonstrated ability to work with, and be sensitive to the differing needs of people from various cultural groups. High level of communication and negotiation skills, both verbally and in writing. Effective organisational and time management skills. Demonstrated ability to work in a highly confidential manner. High level of ability in the use of Microsoft Office and Information Technolog",2026-05-25 01:00:54+00:00,2026-06-12 06:21:40+00:00,cccsa,SYD
72,Network Finance Manager,"To maintain quality information in relation to all financial aspects of Electras Lines Business, providing strong technical, financial, and analytical support. To provide financial leadership to Electra Limiteds Lines business for management accounting, regulatory and disclosure reporting, and value-added commercial analysis. Ensure financial controls, procedures and processes are best practice and proactively support the development of processes and systems.",Network Finance Manager,Essential Chartered Accountant Commerce Degree Proven experience - post qualification in a senior finance position People leadership A high level of computer literacy in the Microsoft suite of products A thorough knowledge of accounting principles and practices included end to end accounting processes Regulatory reporting and compliance Desirable Experience with Microsoft Business Central Analysis of financial information,2025-09-09 06:04:12+00:00,2025-09-09 06:04:12+00:00,electra,SYD
42,Accountant - Intermediate,Lead a team of Careerforce Workplace Advisors and Apprenticeship Vocational Pathway Advisors focusing on; Supporting the delivery of quality learner outcomes Growing the trainee and apprenticeship base in line with Careerforce strategic objectives Providing meaningful pathways for trainees in the sectors Careerforce supports Supporting activity and completion of Careerforce qualifications Developing and managing stakeholder relationships,BIN,"Minimum two years Australian Public Practice experience; Bachelor Degree in Accounting, Commerce or similar; CA/CPA commenced Dedication to providing quality service to clients and managing relationships; Team player Be client focused and able to achieve optimal results; Impeccable communication skills; Ability to embrace challenges; Attention to detail; Exposure to Div 7A and FBT.",2025-01-21 04:35:45+00:00,2025-01-21 04:35:45+00:00,csmgold1,SYD
22,Fundraising Officer,"Job Description: The Fundraising Officer is a vital team member responsible for supporting the implementation of our NFP's fundraising strategies to secure essential financial resources. This role primarily focuses on cultivating and stewarding relationships with a diverse range of donors, including individual supporters, community groups, and potentially smaller corporate or foundation prospects. You will assist with donor outreach, manage donor records, support fundraising campaigns and appeals, and contribute to ensuring a positive and impactful experience for all who support our cause.",FO,"Here are the job descriptions and skills/experience lists for a Community Engagement Officer and a Fundraising Officer, specifically tailored for an Australian Not-for-Profit (NFP) context: Community Engagement Officer Job Description: The Community Engagement Officer is a frontline role responsible for building, nurturing, and maintaining strong, authentic relationships with diverse community groups, volunteers, partners, and beneficiaries, all in support of our NFP's mission. This position actively listens to community needs, facilitates two-way communication, and helps implement engagement strategies through outreach, events, and programs. The goal is to foster active participation, gather valuable feedback, and ensure the community feels valued, heard, and deeply connected to the positive change we strive to achieve. Skills & Experience: Exceptional Interpersonal & Relationship Building: Proven ability to establish rapport, build trust, and maintain genuine connections with people from diverse backgrounds, including vulnerable populations and First Nations communities (if relevant to the NFP's work). Active Listening & Empathy: Strong capacity to understand and respond sensitively to community needs, concerns, and feedback. Communication Skills: Excellent verbal and written communication for presenting information, facilitating discussions, and crafting accessible community messages. Event & Outreach Coordination: Experience in assisting with the planning, coordination, and delivery of community events, workshops, and outreach activities. Cultural Competence: Demonstrated understanding and respect for diverse cultural backgrounds, social contexts, and lived experiences within Australian communities. Problem-Solving & Adaptability: Ability to respond flexibly to community dynamics and resolve minor issues with a solutions-oriented approach. Networking & Collaboration: Capacity to identify opportunities for partnership and work collaboratively with internal teams and external community groups. Digital Engagement (Basic): Familiarity with using social media or other online platforms for community outreach and information sharing. Experience: 2-4 years of experience in a community-facing role, community development, social work, or a related field, ideally within an NFP or social services environment. Demonstrated experience in facilitating community participation or engagement activities. A strong understanding of, and commitment to, the NFP sector's values and ethical engagement principles. Relevant tertiary qualifications (e.g., Community Development, Social Sciences, Human Services) or equivalent practical experience. Desirable: Experience working with specific cohorts relevant to the NFP (e.g., youth, people with disability, Aboriginal and Torres Strait Islander communities). Current Australian Driver's License and willingness to travel within the service area. Current Working With Children Check (WWCC) and National Police Check (or willingness to obtain). Fundraising Officer Job Description: The Fundraising Officer is a vital team member responsible for supporting the implementation of our NFP's fundraising strategies to secure essential financial resources. This role primarily focuses on cultivating and stewarding relationships with a diverse range of donors, including individual supporters, community groups, and potentially smaller corporate or foundation prospects. You will assist with donor outreach, manage donor records, support fundraising campaigns and appeals, and contribute to ensuring a positive and impactful experience for all who support our cause. Skills & Experience: Donor-Centric Approach: A genuine passion for connecting with people and understanding their motivations for giving, with a focus on building lasting relationships. Communication & Persuasion: Excellent written and verbal communication skills for drafting compelling appeals, thank you letters, and donor reports, as well as engaging verbally with supporters. Organisational & Administrative Skills: Highly organised with strong attention to detail for managing donor data, campaign logistics, and administrative tasks. CRM Proficiency: Experience using donor management software (CRM) like Salesforce, Raiser's Edge, or similar systems for accurate record-keeping, tracking interactions, and generating reports. Project Support: Ability to assist with various fundraising activities, including direct mail appeals, digital campaigns, and event support. Initiative & Proactivity: A self-starter who can identify opportunities to engage donors and improve fundraising processes. Ethical Practice: A strong understanding and commitment to ethical fundraising practices and compliance with Australian charity regulations. Data Entry & Accuracy: Meticulous approach to data input and maintenance to ensure clean and reliable donor records. Experience: 1-3 years of experience in fundraising, donor relations, sales support, or a relevant administrative role, preferably within the NFP sector. Demonstrated experience in supporting fundraising campaigns or donor engagement activities. Familiarity with the fundraising cycle (identification, cultivation, solicitation, stewardship). Relevant tertiary qualifications (e.g., Marketing, Business, Communications, Non-profit Management) or equivalent practical experience. Understanding of the unique challenges and opportunities of fundraising in Australia.",2025-06-20 02:14:53+00:00,2026-04-21 02:21:14+00:00,producttrainingsite,SYD
29,Domestic Assistant - Launceston,"The Domestic Assistant supports the well-being and independence of aged and/or clients living with disability within the community by providing essential household services. This position involves visiting clients in their homes and assisting with a variety of domestic tasks to ensure a clean, safe and comfortable living environment. The Domestic Assistant also contributes to the overall care and support of clients by fostering positive relationships and promoting dignity and independence.",DA-LAU,"1. Demonstrated knowledge of safe work practices 2. Previous cleaning experience 3. Ability to work independently and respond appropriately to situations including emergencies 4. Ability to follow care plans and perform duties in a timely manner 5. Good interpersonal skills, demonstrates empathy and confidentiality",2025-03-11 23:52:26+00:00,2025-03-12 00:52:26+00:00,thedistrictnurses,SYD
